,The Godfather,The Dark Knight,The Godfather: Part II,Inception,Fight Club,Forrest Gump,"Il buono, il brutto, il cattivo",Goodfellas,Saving Private Ryan,The Green Mile,Se7en,It's a Wonderful Life,Joker,The Prestige,The Departed,Django Unchained,The Dark Knight Rises,Once Upon a Time in America,Rear Window,Inglourious Basterds,Snatch,Good Will Hunting,Toy Story,Scarface,Taxi Driver,Per qualche dollaro in più,Vertigo,Shutter Island,The Wolf of Wall Street,Toy Story 3,Batman Begins,Heat,Casino,Unforgiven,Raging Bull,12 Years a Slave,Ford v Ferrari,Gran Torino,Million Dollar Baby,Catch Me If You Can,The Deer Hunter,The Man Who Shot Liberty Valance,The Shop Around the Corner,Mr. Smith Goes to Washington,The Martian,The Revenant,Blood Diamond,The Bourne Ultimatum,Pirates of the Caribbean: The Curse of the Black Pearl,Twelve Monkeys,Scent of a Woman,Dog Day Afternoon,Per un pugno di dollari,Anatomy of a Murder,Rope,The Irishman,The Bourne Identity,Toy Story 2,Carlito's Way,Edward Scissorhands,The Untouchables,Brazil,Harvey,The Philadelphia Story,Toy Story 4,The Big Short,Captain Phillips,The Fighter,The Curious Case of Benjamin Button,Cast Away,The Insider,Titanic,Ed Wood,What's Eating Gilbert Grape,A Bronx Tale,Awakenings,The King of Comedy,The Outlaw Josey Wales,Silver Linings Playbook,Gake no ue no Ponyo,3:10 to Yuma,The Bourne Supremacy,The Machinist,Road to Perdition,Ocean's Eleven,Donnie Brasco,Philadelphia,Glengarry Glen Ross,Empire of the Sun,Serpico,Dirty Harry,Where Eagles Dare,Once Upon a Time... in Hollywood,Bridge of Spies,True Grit,Moneyball,Finding Neverland,Blow,American Psycho,Fear and Loathing in Las Vegas,Sleepers,Dead Man,The Bridges of Madison County,Apollo 13,The Godfather: Part III,Escape from Alcatraz,Kelly's Heroes
Robert De Niro,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tom Hanks,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Al Pacino,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clint Eastwood,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Brad Pitt,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Leonardo DiCaprio,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Damon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Christian Bale,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
James Stewart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Depp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
