actor,film
Al Pacino,The Godfather
Christian Bale,The Dark Knight
Al Pacino,The Godfather: Part II
Robert De Niro,The Godfather: Part II
Leonardo DiCaprio,Inception
Brad Pitt,Fight Club
Tom Hanks,Forrest Gump
Clint Eastwood,"Il buono, il brutto, il cattivo"
Robert De Niro,Goodfellas
Tom Hanks,Saving Private Ryan
Matt Damon,Saving Private Ryan
Tom Hanks,The Green Mile
Brad Pitt,Se7en
James Stewart,It's a Wonderful Life
Robert De Niro,Joker
Christian Bale,The Prestige
Leonardo DiCaprio,The Departed
Matt Damon,The Departed
Leonardo DiCaprio,Django Unchained
Christian Bale,The Dark Knight Rises
Robert De Niro,Once Upon a Time in America
James Stewart,Rear Window
Brad Pitt,Inglourious Basterds
Brad Pitt,Snatch
Matt Damon,Good Will Hunting
Tom Hanks,Toy Story
Al Pacino,Scarface
Robert De Niro,Taxi Driver
Clint Eastwood,Per qualche dollaro in più
James Stewart,Vertigo
Leonardo DiCaprio,Shutter Island
Leonardo DiCaprio,The Wolf of Wall Street
Tom Hanks,Toy Story 3
Christian Bale,Batman Begins
Al Pacino,Heat
Robert De Niro,Heat
Robert De Niro,Casino
Clint Eastwood,Unforgiven
Robert De Niro,Raging Bull
Brad Pitt,12 Years a Slave
Matt Damon,Ford v Ferrari
Christian Bale,Ford v Ferrari
Clint Eastwood,Gran Torino
Clint Eastwood,Million Dollar Baby
Leonardo DiCaprio,Catch Me If You Can
Tom Hanks,Catch Me If You Can
Robert De Niro,The Deer Hunter
James Stewart,The Man Who Shot Liberty Valance
James Stewart,The Shop Around the Corner
James Stewart,Mr. Smith Goes to Washington
Matt Damon,The Martian
Leonardo DiCaprio,The Revenant
Leonardo DiCaprio,Blood Diamond
Matt Damon,The Bourne Ultimatum
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl
Brad Pitt,Twelve Monkeys
Al Pacino,Scent of a Woman
Al Pacino,Dog Day Afternoon
Clint Eastwood,Per un pugno di dollari
James Stewart,Anatomy of a Murder
James Stewart,Rope
Robert De Niro,The Irishman
Al Pacino,The Irishman
Matt Damon,The Bourne Identity
Tom Hanks,Toy Story 2
Al Pacino,Carlito's Way
Johnny Depp,Edward Scissorhands
Robert De Niro,The Untouchables
Robert De Niro,Brazil
James Stewart,Harvey
James Stewart,The Philadelphia Story
Tom Hanks,Toy Story 4
Christian Bale,The Big Short
Brad Pitt,The Big Short
Tom Hanks,Captain Phillips
Christian Bale,The Fighter
Brad Pitt,The Curious Case of Benjamin Button
Tom Hanks,Cast Away
Al Pacino,The Insider
Leonardo DiCaprio,Titanic
Johnny Depp,Ed Wood
Johnny Depp,What's Eating Gilbert Grape
Leonardo DiCaprio,What's Eating Gilbert Grape
Robert De Niro,A Bronx Tale
Robert De Niro,Awakenings
Robert De Niro,The King of Comedy
Clint Eastwood,The Outlaw Josey Wales
Robert De Niro,Silver Linings Playbook
Matt Damon,Gake no ue no Ponyo
Christian Bale,3:10 to Yuma
Matt Damon,The Bourne Supremacy
Christian Bale,The Machinist
Tom Hanks,Road to Perdition
Brad Pitt,Ocean's Eleven
Matt Damon,Ocean's Eleven
Al Pacino,Donnie Brasco
Johnny Depp,Donnie Brasco
Tom Hanks,Philadelphia
Al Pacino,Glengarry Glen Ross
Christian Bale,Empire of the Sun
Al Pacino,Serpico
Clint Eastwood,Dirty Harry
Clint Eastwood,Where Eagles Dare
Leonardo DiCaprio,Once Upon a Time... in Hollywood
Brad Pitt,Once Upon a Time... in Hollywood
Tom Hanks,Bridge of Spies
Matt Damon,True Grit
Brad Pitt,Moneyball
Johnny Depp,Finding Neverland
Johnny Depp,Blow
Christian Bale,American Psycho
Johnny Depp,Fear and Loathing in Las Vegas
Robert De Niro,Sleepers
Brad Pitt,Sleepers
Johnny Depp,Dead Man
Clint Eastwood,The Bridges of Madison County
Tom Hanks,Apollo 13
Al Pacino,The Godfather: Part III
Clint Eastwood,Escape from Alcatraz
Clint Eastwood,Kelly's Heroes
