actor1,actor2,weight
"Bob Gunton","Morgan Freeman",1
"Bob Gunton","Tim Robbins",1
"Bob Gunton","William Sadler",1
"Morgan Freeman","Tim Robbins",1
"Morgan Freeman","William Sadler",1
"Tim Robbins","William Sadler",1
"Al Pacino","Diane Keaton",3
"Al Pacino","James Caan",1
"Al Pacino","Marlon Brando",1
"Diane Keaton","James Caan",1
"Diane Keaton","Marlon Brando",1
"James Caan","Marlon Brando",1
"Aaron Eckhart","Christian Bale",1
"Aaron Eckhart","Heath Ledger",1
"Aaron Eckhart","Michael Caine",1
"Christian Bale","Heath Ledger",1
"Christian Bale","Michael Caine",3
"Heath Ledger","Michael Caine",1
"Al Pacino","Robert De Niro",3
"Al Pacino","Robert Duvall",1
"Diane Keaton","Robert De Niro",1
"Diane Keaton","Robert Duvall",1
"Robert De Niro","Robert Duvall",1
"Henry Fonda","John Fiedler",1
"Henry Fonda","Lee J. Cobb",1
"Henry Fonda","Martin Balsam",1
"John Fiedler","Lee J. Cobb",1
"John Fiedler","Martin Balsam",1
"Lee J. Cobb","Martin Balsam",1
"Elijah Wood","Ian McKellen",3
"Elijah Wood","Orlando Bloom",3
"Elijah Wood","Viggo Mortensen",2
"Ian McKellen","Orlando Bloom",3
"Ian McKellen","Viggo Mortensen",2
"Orlando Bloom","Viggo Mortensen",2
"Bruce Willis","John Travolta",1
"Bruce Willis","Samuel L. Jackson",2
"Bruce Willis","Uma Thurman",1
"John Travolta","Samuel L. Jackson",1
"John Travolta","Uma Thurman",1
"Samuel L. Jackson","Uma Thurman",1
"Ben Kingsley","Caroline Goodall",1
"Ben Kingsley","Liam Neeson",1
"Ben Kingsley","Ralph Fiennes",1
"Caroline Goodall","Liam Neeson",1
"Caroline Goodall","Ralph Fiennes",1
"Liam Neeson","Ralph Fiennes",1
"Elliot Page","Joseph Gordon-Levitt",1
"Elliot Page","Ken Watanabe",1
"Elliot Page","Leonardo DiCaprio",1
"Joseph Gordon-Levitt","Ken Watanabe",1
"Joseph Gordon-Levitt","Leonardo DiCaprio",1
"Ken Watanabe","Leonardo DiCaprio",1
"Brad Pitt","Edward Norton",1
"Brad Pitt","Meat Loaf",1
"Brad Pitt","Zach Grenier",1
"Edward Norton","Meat Loaf",1
"Edward Norton","Zach Grenier",1
"Meat Loaf","Zach Grenier",1
"Elijah Wood","Sean Bean",1
"Ian McKellen","Sean Bean",1
"Orlando Bloom","Sean Bean",1
"Gary Sinise","Robin Wright",1
"Gary Sinise","Sally Field",1
"Gary Sinise","Tom Hanks",2
"Robin Wright","Sally Field",1
"Robin Wright","Tom Hanks",1
"Sally Field","Tom Hanks",1
"Aldo Giuffrè","Clint Eastwood",1
"Aldo Giuffrè","Eli Wallach",1
"Aldo Giuffrè","Lee Van Cleef",1
"Clint Eastwood","Eli Wallach",1
"Clint Eastwood","Lee Van Cleef",2
"Eli Wallach","Lee Van Cleef",1
"Carrie-Anne Moss","Keanu Reeves",1
"Carrie-Anne Moss","Laurence Fishburne",1
"Carrie-Anne Moss","Lilly Wachowski",1
"Keanu Reeves","Laurence Fishburne",1
"Keanu Reeves","Lilly Wachowski",1
"Laurence Fishburne","Lilly Wachowski",1
"Joe Pesci","Lorraine Bracco",1
"Joe Pesci","Ray Liotta",1
"Joe Pesci","Robert De Niro",4
"Lorraine Bracco","Ray Liotta",1
"Lorraine Bracco","Robert De Niro",1
"Ray Liotta","Robert De Niro",1
"Billy Dee Williams","Carrie Fisher",2
"Billy Dee Williams","Harrison Ford",2
"Billy Dee Williams","Mark Hamill",2
"Carrie Fisher","Harrison Ford",3
"Carrie Fisher","Mark Hamill",3
"Harrison Ford","Mark Hamill",3
"Jack Nicholson","Louise Fletcher",1
"Jack Nicholson","Michael Berryman",1
"Jack Nicholson","Peter Brocco",1
"Louise Fletcher","Michael Berryman",1
"Louise Fletcher","Peter Brocco",1
"Michael Berryman","Peter Brocco",1
"Leslie Odom Jr.","Lin-Manuel Miranda",1
"Leslie Odom Jr.","Phillipa Soo",1
"Leslie Odom Jr.","Renée Elise Goldsberry",1
"Lin-Manuel Miranda","Phillipa Soo",1
"Lin-Manuel Miranda","Renée Elise Goldsberry",1
"Phillipa Soo","Renée Elise Goldsberry",1
